date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:52:32	734/734	---M-Z	200	added ('OK')	text/plain	date:Thu,%2001%20Sep%202022%2010:31:04%20GMT	https://abax3dtech.com/robots.txt		(from )
03:52:32	93504/93504	---MCZ	200	added ('OK')	text/html	etag:%221578-1716907345;gz%22	https://abax3dtech.com/impresoras-3d/	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/impresoras-3d/index.html	(from )
03:52:33	51634/51634	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2009:51:00%20GMT	https://abax3dtech.com/wp-content/plugins/formidable/css/formidableforms.css?ver=1019951	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-content/plugins/formidable/css/formidableforms4a34.css	(from https://abax3dtech.com/impresoras-3d/)
03:52:33	88932/88932	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Jul%202022%2019:42:45%20GMT	https://abax3dtech.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.8	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-includes/css/dist/block-library/style.mind42d.css	(from https://abax3dtech.com/impresoras-3d/)
03:52:33	2723/2723	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2012:38:24%20GMT	https://abax3dtech.com/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css?ver=6.3.3	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min5c45.css	(from https://abax3dtech.com/impresoras-3d/)
03:52:34	351/351	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Jul%202022%2010:38:20%20GMT	https://abax3dtech.com/wp-content/themes/Divi-child/style.css?ver=4.9.2	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-content/themes/Divi-child/style20fd.css	(from https://abax3dtech.com/impresoras-3d/)
03:52:34	825739/825739	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Jun%202022%2013:35:59%20GMT	https://abax3dtech.com/wp-content/themes/Divi/style.css?ver=6.0.8	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-content/themes/Divi/styled42d.css	(from https://abax3dtech.com/impresoras-3d/)
03:52:34	59016/59016	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Jun%202022%2013:41:19%20GMT	https://abax3dtech.com/wp-includes/css/dashicons.min.css?ver=6.0.8	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-includes/css/dashicons.mind42d.css	(from https://abax3dtech.com/impresoras-3d/)
03:52:34	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Jul%202022%2008:37:28%20GMT	https://abax3dtech.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://abax3dtech.com/impresoras-3d/)
03:52:34	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Jun%202022%2013:41:17%20GMT	https://abax3dtech.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://abax3dtech.com/impresoras-3d/)
03:52:35	735/735	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2009%20Sep%202022%2011:25:58%20GMT	https://abax3dtech.com/wp-content/plugins/link-juice-optimizer/public/js/link-juice-optimizer.js?ver=2.3.1	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-content/plugins/link-juice-optimizer/public/js/link-juice-optimizer254d.js	(from https://abax3dtech.com/impresoras-3d/)
03:52:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2002%20Jun%202024%2007:52:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/www.googletagmanager.com/gtm.95445.delayed	(from https://abax3dtech.com/impresoras-3d/)
03:52:35	827/827	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jun%202022%2013:38:19%20GMT	https://abax3dtech.com/wp-content/uploads/2019/08/cropped-favicon-32x32.jpg	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-content/uploads/2019/08/cropped-favicon-32x32.jpg	(from https://abax3dtech.com/impresoras-3d/)
03:52:35	3839/3839	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jun%202022%2013:38:19%20GMT	https://abax3dtech.com/wp-content/uploads/2019/08/cropped-favicon-192x192.jpg	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-content/uploads/2019/08/cropped-favicon-192x192.jpg	(from https://abax3dtech.com/impresoras-3d/)
03:52:36	3736/3736	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jun%202022%2013:38:19%20GMT	https://abax3dtech.com/wp-content/uploads/2019/08/cropped-favicon-180x180.jpg	C:/Users/kevin/Desktop/clon%20pag/Industria%20Verde/abax3dtech.com/wp-content/uploads/2019/08/cropped-favicon-180x180.jpg	(from https://abax3dtech.com/impresoras-3d/)
